iter	Passed	Remaining
428	2600	3461
429	2609	3458
430	2613	3450
431	2622	3448
432	2626	3439
433	2632	3433
434	2635	3423
435	2643	3419
436	2648	3412
437	2653	3404
438	2658	3397
439	2665	3392
440	2673	3388
441	2676	3379
442	2683	3373
443	2686	3364
444	2690	3355
445	2697	3351
446	2707	3349
447	2715	3345
448	2719	3337
449	2723	3328
450	2727	3320
451	2740	3322
452	2747	3317
453	2751	3308
454	2755	3300
455	2758	3291
456	2765	3285
457	2769	3277
458	2772	3267
459	2775	3258
460	2782	3253
461	2789	3248
462	2791	3237
463	2796	3230
464	2803	3225
465	2808	3218
466	2812	3209
467	2819	3205
468	2825	3199
469	2829	3190
470	2832	3181
471	2835	3171
472	2843	3167
473	2849	3161
474	2859	3160
475	2863	3152
476	2871	3148
477	2878	3143
478	2885	3138
479	2891	3132
480	2898	3127
481	2906	3123
482	2915	3120
483	2919	3112
484	2931	3112
485	2940	3109
486	2954	3112
487	2969	3115
488	2975	3109
489	2984	3106
490	2991	3100
491	2996	3094
492	3002	3087
493	3013	3086
494	3018	3079
495	3027	3076
496	3033	3070
497	3038	3063
498	3044	3056
499	3049	3049
500	3054	3042
501	3065	3041
502	3071	3035
503	3078	3029
504	3083	3021
505	3086	3013
506	3095	3009
507	3100	3002
508	3110	3000
509	3115	2993
510	3118	2984
511	3122	2976
512	3127	2968
513	3131	2961
514	3136	2953
515	3139	2945
516	3143	2937
517	3150	2931
518	3157	2926
519	3162	2919
520	3171	2916
521	3179	2911
522	3187	2907
523	3190	2898
524	3195	2890
525	3199	2883
526	3206	2877
527	3208	2868
528	3219	2866
529	3223	2858
530	3227	2850
531	3232	2843
532	3240	2838
533	3242	2829
534	3250	2824
535	3255	2818
536	3259	2810
537	3263	2802
538	3269	2796
539	3278	2792
540	3286	2788
541	3290	2780
542	3298	2776
543	3304	2769
544	3310	2763
545	3317	2758
546	3321	2750
547	3331	2747
548	3346	2748
549	3351	2742
550	3359	2737
551	3362	2729
552	3369	2723
553	3375	2717
554	3380	2710
555	3388	2705
556	3394	2700
557	3400	2693
558	3405	2686
559	3414	2682
560	3416	2673
561	3421	2666
562	3425	2658
563	3430	2651
564	3433	2643
565	3438	2636
566	3445	2631
567	3450	2624
568	3457	2618
569	3461	2611
570	3467	2605
571	3475	2600
572	3482	2595
573	3485	2586
574	3489	2578
575	3495	2573
576	3500	2566
577	3505	2559
578	3516	2557
579	3526	2553
580	3531	2547
581	3536	2540
582	3543	2534
583	3551	2530
584	3556	2522
585	3564	2518
586	3569	2511
587	3571	2502
588	3576	2495
589	3580	2488
590	3587	2482
591	3599	2480
592	3607	2476
593	3611	2468
594	3618	2462
595	3623	2456
596	3627	2448
597	3630	2440
598	3635	2433
599	3639	2426
600	3644	2419
601	3654	2416
602	3658	2408
603	3665	2403
604	3669	2395
605	3679	2392
606	3684	2385
607	3686	2376
608	3693	2371
609	3701	2366
610	3704	2358
611	3715	2355
612	3727	2353
613	3737	2349
614	3747	2346
615	3759	2343
616	3768	2339
617	3772	2331
618	3781	2327
619	3783	2318
620	3794	2316
621	3807	2313
622	3811	2306
623	3813	2298
624	3819	2291
625	3826	2286
626	3831	2279
627	3841	2275
628	3845	2268
629	3850	2261
630	3854	2254
631	3863	2249
632	3869	2243
633	3876	2237
634	3883	2232
635	3895	2229
636	3897	2220
637	3903	2215
638	3912	2210
639	3918	2203
640	3922	2196
641	3927	2190
642	3934	2184
643	3939	2177
644	3943	2170
645	3950	2164
646	3954	2157
647	3960	2151
648	3963	2143
649	3966	2135
650	3973	2130
651	3981	2125
652	3990	2120
653	3995	2113
654	4000	2106
655	4008	2101
656	4013	2095
657	4018	2088
658	4023	2082
659	4029	2076
660	4037	2070
661	4047	2066
662	4053	2060
663	4057	2053
664	4066	2048
665	4071	2041
666	4085	2039
667	4092	2033
668	4094	2025
669	4107	2022
670	4114	2017
671	4123	2012
672	4132	2007
673	4137	2001
674	4144	1995
675	4153	1990
676	4157	1983
677	4165	1978
678	4179	1975
